
2025-12-24 08:43:10,036 [1] INFO  IEC61850_simulatorServer2.MainClass [37] - [Program] 应用启动，log4net 配置已尝试加载 

2025-12-24 08:43:11,448 [7] WARN  IEC61850_simulatorServer2.ModbusSlave [187] - Scale apply failed for yc5: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/ModbusSlave.cs:line 187 

2025-12-24 08:43:11,452 [7] WARN  IEC61850_simulatorServer2.ModbusSlave [187] - Scale apply failed for yc6: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/ModbusSlave.cs:line 187 

2025-12-24 08:43:11,455 [7] WARN  IEC61850_simulatorServer2.ModbusSlave [187] - Scale apply failed for yc7: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/ModbusSlave.cs:line 187 

2025-12-24 08:43:11,457 [7] WARN  IEC61850_simulatorServer2.ModbusSlave [187] - Scale apply failed for yc8: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/ModbusSlave.cs:line 187 

2025-12-24 08:43:11,483 [7] WARN  IEC61850_simulatorServer2.ModbusSlave [187] - Scale apply failed for yc10: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/ModbusSlave.cs:line 187 

2025-12-24 08:43:11,486 [7] WARN  IEC61850_simulatorServer2.ModbusSlave [187] - Scale apply failed for yc9: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
   at IEC61850_simulatorServer2.ModbusSlave.Write(Dictionary`2 data, Byte slaveId) in /Users/songyinpei/jobs/IEC61850-simulatorServer2/ModbusSlave.cs:line 187 

2025-12-24 08:43:11,488 [7] WARN  IEC61850_simulatorServer2.ModbusSlave [187] - Scale apply failed for yc11: System.InvalidCastException: Unable to cast object of type 'System.Int32' to type 'System.Single'.
